,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
1970,0.0,0.0,0.0,0.0,3.0,0,0,1,SUN,NOT AVAILABLE,0,0,0,0.0,0
1971,3.2,3.2,3.2,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.164918664,0
1972,78.5,70.6,72.6,0.0,0.0,5,0,0,DFO,NG,0,258886,1564,0.00532455,1
1973,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.122716895,0
1974,0.0,0.0,0.0,20.0,0.0,0,1,0,MWH,NOT AVAILABLE,0,0,0,0.0,0
1975,45.7,46.1,46.1,0.0,0.0,1,0,0,WDS,DFO,0,0,0,0.737779693,1
1976,0.0,0.0,0.0,0.0,2.0,0,0,1,WAT,NOT AVAILABLE,0,0,0,0.0,0
1977,4.5,4.5,4.5,0.0,2.3,3,0,5,DFO,NG,0,0,74,0.000820396,0
1978,6.2,6.2,6.2,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.184213433,0
1979,82.5,74.1,95.6,0.0,63.6,2,0,6,BLQ,NG,0,1296597,0,0.425511007,0
1980,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.212842466,0
1981,61.2,59.9,66.0,0.0,0.0,1,0,0,DFO,NOT AVAILABLE,0,0,1738,0.000983374,1
1982,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.202785388,0
1983,0.0,0.0,0.0,0.0,2.9,0,0,1,SUN,NONE,0,0,0,0.0,0
1984,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.164155251,0
1985,0.0,0.0,0.0,0.0,38.2,0,0,1,OTH,NOT AVAILABLE,0,0,0,0.0,0
1986,37.5,37.5,37.5,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.09482496,0
1987,0.0,0.0,0.0,0.0,43.0,0,0,8,NG,NOT AVAILABLE,0,0,0,0.0,0
1988,3.6,3.6,3.6,0.0,0.0,2,0,0,DFO,NOT AVAILABLE,0,0,286,0.005136986,0
1989,1.1,1.1,1.1,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1990,27.6,27.6,27.6,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.059509629,0
1991,1.5,1.5,1.5,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.19109589,0
1992,71.5,65.7,84.7,0.0,0.0,2,0,0,DFO,NOT AVAILABLE,0,0,4228,0.002191016,1
1993,6.4,6.2,6.2,0.0,0.0,8,0,0,LFG,NOT AVAILABLE,0,0,0,0.891828693,0
1994,5.0,5.0,5.0,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,96334,0,0.226255708,0
1995,0.0,0.0,0.0,0.0,2.4,0,0,8,SUN,NOT AVAILABLE,0,0,0,0.0,0
1996,201.0,201.0,201.0,0.0,0.0,2,0,0,WND,NOT AVAILABLE,0,0,0,0.278650128,0
1997,1.0,1.0,1.0,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.893721461,0
1998,0.0,0.0,0.0,1.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1999,50.0,36.0,36.0,0.0,0.0,2,0,0,MSW,NG,0,874594,0,0.535026636,1
2000,1.0,1.0,1.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.197260274,0
2001,0.0,0.0,0.0,2.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
2002,3.6,3.6,2.9,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.159405124,0
2003,0.0,0.0,0.0,0.0,4.3,0,0,2,DFO,NOT AVAILABLE,0,0,0,0.0,0
2004,3.0,3.0,3.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.146841705,0
2005,0.0,0.0,0.0,0.0,420.2,0,0,3,RFO,BIT,0,0,0,0.0,0
2006,6.5,2.0,2.0,0.0,0.6,3,0,1,DFO,NOT AVAILABLE,0,0,3795,0.209703196,0
2007,0.0,0.0,0.0,1.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
2008,1036.8,972.0,1018.0,0.0,130.6,6,0,2,NG,NOT AVAILABLE,0,35906617,0,0.57439023,0
2009,0.0,0.0,0.0,0.0,205.2,0,0,1,WND,NOT AVAILABLE,0,0,0,0.0,0
