,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1677,40.3,30.0,30.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.874980974,0,229945.0
1678,47.6,40.0,40.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.893884132,1,313217.0
1679,0.0,0.0,0.0,0.0,48.0,0,0,1,WC,NOT AVAILABLE,81740,0,20995,0.0,1,50671.0
1680,53.7,32.0,32.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.68317993,1,191508.998
1681,59.7,51.0,53.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.826278091,1,369148.0
1682,67.0,58.0,59.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.940595969,1,477898.0
1683,76.5,58.1,58.1,0.0,0.0,2,0,0,MSW,NOT AVAILABLE,0,65,0,0.86725768,1,441396.0
1684,14.0,12.0,12.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.808038432,0,84941.0
1685,66.0,54.0,54.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.868336716,1,410758.0
1686,1.2,1.2,1.2,0.0,0.0,6,0,0,WAT,NOT AVAILABLE,0,0,0,0.0,1,0.0
1687,9.2,6.0,10.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.665182648,0,34962.0
1688,9.2,8.0,12.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.501612443,1,35153.0
1689,13.6,13.6,13.6,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.700141015,1,83412.0
1690,17.8,17.8,17.8,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.648619876,1,101138.0
1691,160.9,156.5,157.9,0.0,26.5,4,0,3,WDS,BIT,154493,6465978,18571,0.607823825,1,833289.995
